,小区名,区域,地址,中心,房屋户型,有无电梯,楼层,面积,朝向,平方价格(元\平方),房屋总价(万元)
0,星城国际,长沙县,泉塘, 二至三环,3室2厅1厨2卫,有,中楼层 (共11层),93.24㎡,南,7621,81.8
1,星城国际,长沙县,泉塘, 二至三环,3室2厅1厨2卫,有,中楼层 (共11层),93.24㎡,南,7621,81.8
2,北辰三角洲奥城E3区,开福,北辰三角洲, 二环内,4室1厅1厨2卫,有,低楼层 (共45层),120㎡,东南,19183,262.8
3,佳园星城,雨花,井湾子, 二至三环,3室2厅1厨2卫,无,低楼层 (共7层),90㎡,南,6854,68.0
4,香巴圣地,雨花,左家塘, 二至三环,2室2厅1厨1卫,有,高楼层 (共10层),79.85㎡,南,8981,84.2
5,梅溪湖壹号,岳麓,梅溪湖南岸, 二至三环,3室1厅1厨1卫,有,低楼层 (共26层),暂无数据,南,15016,147.0
6,君临国际,天心,五一广场, 二环内,3室2厅1厨1卫,有,高楼层 (共29层),91.1㎡,南,15664,178.0
7,保利国际广场,天心,书院路, 二环内,3室2厅1厨2卫,有,高楼层 (共36层),108.27㎡,南,18727,255.0
8,恒达时代花园,雨花,东塘, 二至三环,3室2厅1厨2卫,有,高楼层 (共9层),暂无数据,南 北,9449,132.0
9,凯通国际城,芙蓉,火车站, 二环内,3室1厅1厨1卫,有,低楼层 (共32层),暂无数据,南,10931,90.88
10,五矿万境水岸二期,雨花,喜盈门, 二至三环,3室2厅1厨1卫,有,中楼层 (共33层),暂无数据,南,14712,153.0
11,金茂梅溪湖,岳麓,梅溪湖南岸, 二至三环,3室2厅1厨2卫,有,中楼层 (共32层),95.68㎡,南,18897,229.8
12,卓越蔚蓝海岸二期,岳麓,市政府, 二环内,4室2厅1厨2卫,有,低楼层 (共4层),138.19㎡,南 北,17054,260.0
13,鑫远御文台,天心,新开铺, 二至三环,2室2厅1厨1卫,有,低楼层 (共29层),64.76㎡,南,12123,98.0
14,佳天瑞宁花园,雨花,赤岗冲, 二环内,1室1厅1厨1卫,有,中楼层 (共33层),38.46㎡,北,12306,65.0
15,苹果社区,芙蓉,汽车东站, 三环外,2室2厅1厨1卫,有,高楼层 (共18层),暂无数据,南 北,7500,63.0
16,旭辉御府,岳麓,梅溪湖北岸, 二至三环,3室2厅1厨1卫,有,高楼层 (共32层),暂无数据,南,16918,161.8
17,白沙晶城,天心,书院路, 二环内,1室1厅1厨1卫,有,中楼层 (共31层),34.12㎡,南,10977,50.8
18,湘麓国际,岳麓,麓谷东, 二至三环,4室2厅1厨3卫,有,高楼层 (共18层),暂无数据,南,9970,228.8
19,中国铁建国际城,长沙县,泉塘, 二至三环,2室2厅1厨1卫,有,低楼层 (共33层),62.45㎡,南,7959,63.8
20,山水嘉园,天心,省政府, 二环内,5室2厅1厨2卫,有,低楼层 (共18层),154.58㎡,南 北,8024,143.8
21,东玺门,芙蓉,马王堆, 二至三环,2室2厅1厨1卫,有,高楼层 (共31层),74.97㎡,北,9822,90.0
22,百纳公寓,芙蓉,马王堆, 二至三环,3室1厅1厨1卫,有,低楼层 (共33层),72.68㎡,南,11905,108.0
23,钰龙天下二期,岳麓,观沙岭, 二环内,3室2厅1厨1卫,有,高楼层 (共34层),91.27㎡,南 北,26084,298.0
